Patient_Name,Registered_Practice,Patient_NHS_Number,patient_email,Last_Consultation_Date,age,sex,imd_score,genetics_snomed,mother_history,sister_history,relative_under_50,bmi_observation,smoking_status
Isla,B82005,451-960-6390,gracemboothe@gmail.com,2023-08-31,58,1,1,442525003,1,1,0,,266919005
Amelia,B82021,471-800-6734,gracemboothe@gmail.com,2023-05-02,50,1,7,0,0,0,0,23.3,266919005
Olivia,B82005,482-314-5426,gracemboothe@gmail.com,2023-05-27,85,1,8,0,1,0,0,27.0,77176002
Amelia,B82081,474-187-9322,gracemboothe@gmail.com,2023-02-24,50,1,7,412734009,0,1,0,27.7,77176002
Ava,B82021,421-408-1769,gracemboothe@gmail.com,2023-08-26,31,1,5,0,0,0,0,23.6,266919005
Ava,B82021,487-591-7949,gracemboothe@gmail.com,2023-12-22,38,1,1,0,0,0,0,,266919005
Mia,B82005,401-291-6051,gracemboothe@gmail.com,2023-06-22,65,1,7,0,1,0,0,28.0,77176002
Mia,B82005,420-260-5555,gracemboothe@gmail.com,2023-08-09,37,1,7,0,0,0,0,,77176002
Ava,B82021,457-121-7396,gracemboothe@gmail.com,2023-04-29,25,1,9,0,0,0,0,30.3,266919005
Ava,B82081,488-660-9666,gracemboothe@gmail.com,2023-11-05,24,1,3,0,0,1,0,21.7,266919005
Ava,B82005,458-610-8849,gracemboothe@gmail.com,2023-07-02,84,1,9,0,0,0,1,,266919005
Amelia,B82005,491-799-1189,gracemboothe@gmail.com,2023-10-15,34,1,1,0,0,0,0,26.2,77176002
Ava,B82005,461-786-4005,gracemboothe@gmail.com,2023-11-03,50,1,1,0,0,0,0,32.0,266919005
Isla,B82021,450-975-8734,gracemboothe@gmail.com,2023-10-27,65,1,4,412734009,0,0,0,22.3,77176002
Olivia,B82021,463-604-4556,gracemboothe@gmail.com,2023-03-23,76,1,9,0,0,0,1,28.8,266919005
Ava,B82021,450-746-6393,gracemboothe@gmail.com,2023-07-30,39,1,6,0,0,0,0,28.9,266919005
Olivia,B82021,403-700-9433,gracemboothe@gmail.com,2023-05-30,47,1,3,0,0,0,0,36.6,266919005
Amelia,B82081,408-445-3612,gracemboothe@gmail.com,2023-02-06,55,1,1,0,0,0,0,22.0,266919005
Olivia,B82081,401-439-7235,gracemboothe@gmail.com,2023-12-18,68,1,4,0,0,0,0,,266919005
Amelia,B82021,459-554-1775,gracemboothe@gmail.com,2023-11-08,71,1,9,0,1,0,0,22.3,266919005
Isla,B82081,446-134-4152,gracemboothe@gmail.com,2023-12-27,25,1,3,0,0,0,1,18.3,266919005
Amelia,B82005,435-661-4943,gracemboothe@gmail.com,2023-02-28,44,1,9,0,0,0,1,37.2,266919005
Amelia,B82005,403-101-2021,gracemboothe@gmail.com,2023-05-11,44,1,7,0,0,0,0,20.7,266919005
Mia,B82005,405-665-4843,gracemboothe@gmail.com,2023-07-21,38,1,4,412734009,0,0,0,23.0,266919005
Ava,B82021,453-576-7873,gracemboothe@gmail.com,2023-08-31,47,1,3,442525003,0,0,1,34.7,77176002
Ava,B82005,443-261-5297,gracemboothe@gmail.com,2023-02-04,45,1,10,0,0,0,0,17.9,77176002
Isla,B82081,461-369-8629,gracemboothe@gmail.com,2023-04-03,81,1,5,0,0,0,0,,77176002
Isla,B82021,486-351-2016,gracemboothe@gmail.com,2023-07-26,86,1,5,0,0,0,0,,77176002
Ava,B82081,461-395-8892,gracemboothe@gmail.com,2023-12-19,78,1,3,0,0,0,0,34.4,266919005
Mia,B82005,479-848-9529,gracemboothe@gmail.com,2023-11-28,65,1,9,0,0,0,0,17.0,266919005
Ava,B82005,452-891-5859,gracemboothe@gmail.com,2023-11-01,36,1,4,0,0,1,0,17.9,266919005
Mia,B82005,459-479-9684,gracemboothe@gmail.com,2023-12-16,21,1,5,0,0,0,1,24.5,266919005
Isla,B82021,440-256-3062,gracemboothe@gmail.com,2023-08-01,52,1,4,0,0,0,1,32.8,266919005
Olivia,B82081,444-164-9006,gracemboothe@gmail.com,2023-06-08,81,1,5,765057007,0,0,0,27.3,77176002
Isla,B82021,408-443-3027,gracemboothe@gmail.com,2023-01-24,66,1,7,0,0,0,0,25.7,266919005
Isla,B82021,407-571-6258,gracemboothe@gmail.com,2023-10-20,34,1,9,0,0,0,1,34.9,266919005
Amelia,B82005,480-491-6892,gracemboothe@gmail.com,2023-01-04,61,1,7,0,0,0,1,39.4,266919005
Amelia,B82021,440-127-7278,gracemboothe@gmail.com,2023-08-08,47,1,5,765057007,0,0,0,,266919005
Amelia,B82021,472-939-4104,gracemboothe@gmail.com,2023-12-30,63,1,10,0,0,0,1,24.1,266919005
Amelia,B82005,447-602-3454,gracemboothe@gmail.com,2023-01-20,23,1,10,0,1,0,1,25.2,266919005
Mia,B82021,461-827-9996,gracemboothe@gmail.com,2023-06-01,54,1,7,0,1,1,0,20.4,77176002
